Domaine_Code;Domaine_Nom;Objectif_Code;Objectif_Nom;Pratique_Code;Pratique_Nom
EDM;Évaluer, Diriger et Surveiller;EDM01;Assurer la mise en place et la maintenance du cadre de gouvernance;EDM01.01;Évaluer le système de gouvernance
EDM;Évaluer, Diriger et Surveiller;EDM01;Assurer la mise en place et la maintenance du cadre de gouvernance;EDM01.02;Diriger le système de gouvernance
EDM;Évaluer, Diriger et Surveiller;EDM01;Assurer la mise en place et la maintenance du cadre de gouvernance;EDM01.03;Surveiller le système de gouvernance
EDM;Évaluer, Diriger et Surveiller;EDM02;Assurer la création de valeur;EDM02.01;Évaluer l'optimisation de la valeur
EDM;Évaluer, Diriger et Surveiller;EDM02;Assurer la création de valeur;EDM02.02;Diriger l'optimisation de la valeur
EDM;Évaluer, Diriger et Surveiller;EDM02;Assurer la création de valeur;EDM02.03;Surveiller l'optimisation de la valeur
EDM;Évaluer, Diriger et Surveiller;EDM03;Assurer l'optimisation des risques;EDM03.01;Évaluer la gestion des risques
EDM;Évaluer, Diriger et Surveiller;EDM03;Assurer l'optimisation des risques;EDM03.02;Diriger la gestion des risques
EDM;Évaluer, Diriger et Surveiller;EDM03;Assurer l'optimisation des risques;EDM03.03;Surveiller la gestion des risques
EDM;Évaluer, Diriger et Surveiller;EDM04;Assurer l'optimisation des ressources;EDM04.01;Évaluer la gestion des ressources
EDM;Évaluer, Diriger et Surveiller;EDM04;Assurer l'optimisation des ressources;EDM04.02;Diriger la gestion des ressources
EDM;Évaluer, Diriger et Surveiller;EDM04;Assurer l'optimisation des ressources;EDM04.03;Surveiller la gestion des ressources
EDM;Évaluer, Diriger et Surveiller;EDM05;Assurer l'engagement des parties prenantes;EDM05.01;Évaluer les exigences de reporting des parties prenantes
EDM;Évaluer, Diriger et Surveiller;EDM05;Assurer l'engagement des parties prenantes;EDM05.02;Diriger la communication et le reporting aux parties prenantes
EDM;Évaluer, Diriger et Surveiller;EDM05;Assurer l'engagement des parties prenantes;EDM05.03;Surveiller l'engagement des parties prenantes
APO;Aligner, Planifier et Organiser;APO01;Gérer le cadre de management des TI;APO01.01;Concevoir le système de management des TI de l'entreprise
APO;Aligner, Planifier et Organiser;APO01;Gérer le cadre de management des TI;APO01.02;Clarifier les rôles et responsabilités
APO;Aligner, Planifier et Organiser;APO01;Gérer le cadre de management des TI;APO01.03;Maintenir les facilitateurs du système de management
APO;Aligner, Planifier et Organiser;APO01;Gérer le cadre de management des TI;APO01.04;Communiquer les objectifs et orientations de management
APO;Aligner, Planifier et Organiser;APO01;Gérer le cadre de management des TI;APO01.05;Optimiser le positionnement de la fonction TI
APO;Aligner, Planifier et Organiser;APO01;Gérer le cadre de management des TI;APO01.06;Définir la propriété de l'information et des systèmes
APO;Aligner, Planifier et Organiser;APO01;Gérer le cadre de management des TI;APO01.07;Gérer l'amélioration continue du système de management
APO;Aligner, Planifier et Organiser;APO02;Gérer la stratégie;APO02.01;Comprendre l'orientation de l'entreprise
APO;Aligner, Planifier et Organiser;APO02;Gérer la stratégie;APO02.02;Évaluer l'environnement actuel, les capacités et la performance
APO;Aligner, Planifier et Organiser;APO02;Gérer la stratégie;APO02.03;Définir les capacités TI cibles
APO;Aligner, Planifier et Organiser;APO02;Gérer la stratégie;APO02.04;Réaliser une analyse des écarts
APO;Aligner, Planifier et Organiser;APO02;Gérer la stratégie;APO02.05;Définir le plan stratégique et la feuille de route
APO;Aligner, Planifier et Organiser;APO02;Gérer la stratégie;APO02.06;Communiquer la stratégie et l'orientation TI
APO;Aligner, Planifier et Organiser;APO03;Gérer l'architecture d'entreprise;APO03.01;Développer la vision de l'architecture d'entreprise
APO;Aligner, Planifier et Organiser;APO03;Gérer l'architecture d'entreprise;APO03.02;Définir l'architecture de référence
APO;Aligner, Planifier et Organiser;APO03;Gérer l'architecture d'entreprise;APO03.03;Sélectionner les opportunités et solutions
APO;Aligner, Planifier et Organiser;APO03;Gérer l'architecture d'entreprise;APO03.04;Définir l'implémentation de l'architecture
APO;Aligner, Planifier et Organiser;APO03;Gérer l'architecture d'entreprise;APO03.05;Fournir les services d'architecture d'entreprise
APO;Aligner, Planifier et Organiser;APO04;Gérer l'innovation;APO04.01;Créer un environnement propice à l'innovation
APO;Aligner, Planifier et Organiser;APO04;Gérer l'innovation;APO04.02;Maintenir une compréhension de l'environnement de l'entreprise
APO;Aligner, Planifier et Organiser;APO04;Gérer l'innovation;APO04.03;Surveiller et scanner l'environnement technologique
APO;Aligner, Planifier et Organiser;APO04;Gérer l'innovation;APO04.04;Évaluer le potentiel des technologies émergentes et des idées innovantes
APO;Aligner, Planifier et Organiser;APO04;Gérer l'innovation;APO04.05;Recommander les initiatives appropriées
APO;Aligner, Planifier et Organiser;APO04;Gérer l'innovation;APO04.06;Surveiller l'implémentation et l'utilisation de l'innovation
APO;Aligner, Planifier et Organiser;APO05;Gérer le portefeuille;APO05.01;Établir le mix d'investissements cible
APO;Aligner, Planifier et Organiser;APO05;Gérer le portefeuille;APO05.02;Déterminer la disponibilité et les sources de financement
APO;Aligner, Planifier et Organiser;APO05;Gérer le portefeuille;APO05.03;Évaluer et sélectionner les programmes à financer
APO;Aligner, Planifier et Organiser;APO05;Gérer le portefeuille;APO05.04;Surveiller, optimiser et rendre compte de la performance du portefeuille d'investissements
APO;Aligner, Planifier et Organiser;APO05;Gérer le portefeuille;APO05.05;Maintenir les portefeuilles
APO;Aligner, Planifier et Organiser;APO06;Gérer le budget et les coûts;APO06.01;Gérer les finances et la comptabilité
APO;Aligner, Planifier et Organiser;APO06;Gérer le budget et les coûts;APO06.02;Prioriser l'allocation des ressources
APO;Aligner, Planifier et Organiser;APO06;Gérer le budget et les coûts;APO06.03;Créer et maintenir les budgets
APO;Aligner, Planifier et Organiser;APO06;Gérer le budget et les coûts;APO06.04;Modéliser et allouer les coûts
APO;Aligner, Planifier et Organiser;APO06;Gérer le budget et les coûts;APO06.05;Gérer les coûts
APO;Aligner, Planifier et Organiser;APO07;Gérer les ressources humaines;APO07.01;Acquérir et maintenir un effectif adéquat et approprié
