Clause_Code;Clause_Nom;SousClause_Code;SousClause_Nom;Description
4;Contexte de l'organisation;4.1;Compréhension de l'organisation et de son contexte;Déterminer les enjeux externes et internes pertinents
4;Contexte de l'organisation;4.2;Compréhension des besoins et attentes des parties intéressées;Identifier les parties intéressées et leurs exigences
4;Contexte de l'organisation;4.3;Détermination du domaine d'application du SMSI;Définir les limites et l'applicabilité du SMSI
4;Contexte de l'organisation;4.4;Système de management de la sécurité de l'information;Établir, mettre en œuvre, tenir à jour et améliorer le SMSI
5;Leadership;5.1;Leadership et engagement;Démontrer le leadership et l'engagement de la direction
5;Leadership;5.2;Politique;Établir une politique de sécurité de l'information
5;Leadership;5.3;Rôles, responsabilités et autorités au sein de l'organisation;Attribuer et communiquer les responsabilités et autorités
6;Planification;6.1;Actions à mettre en œuvre face aux risques et opportunités;Planifier les actions face aux risques et opportunités
6;Planification;6.1.1;Généralités;Déterminer les risques et opportunités à traiter
6;Planification;6.1.2;Appréciation des risques de sécurité de l'information;Définir et appliquer un processus d'appréciation des risques
6;Planification;6.1.3;Traitement des risques de sécurité de l'information;Définir et appliquer un processus de traitement des risques
6;Planification;6.2;Objectifs de sécurité de l'information et plans pour les atteindre;Établir des objectifs mesurables et planifier leur atteinte
6;Planification;6.3;Planification des modifications;Planifier les changements du SMSI de manière maîtrisée
7;Support;7.1;Ressources;Déterminer et fournir les ressources nécessaires
7;Support;7.2;Compétences;Déterminer et assurer les compétences nécessaires
7;Support;7.3;Sensibilisation;Sensibiliser le personnel à la politique et aux contributions
7;Support;7.4;Communication;Déterminer les besoins de communication interne et externe
7;Support;7.5;Informations documentées;Créer et maîtriser les informations documentées requises
7;Support;7.5.1;Généralités;Inclure les informations documentées exigées par la norme
7;Support;7.5.2;Création et mise à jour;Assurer l'identification et le format appropriés
7;Support;7.5.3;Maîtrise des informations documentées;Maîtriser la disponibilité et la protection des documents
8;Réalisation des activités opérationnelles;8.1;Planification et maîtrise opérationnelles;Planifier, mettre en œuvre et maîtriser les processus
8;Réalisation des activités opérationnelles;8.2;Appréciation des risques de sécurité de l'information;Réaliser des appréciations des risques à intervalles planifiés
8;Réalisation des activités opérationnelles;8.3;Traitement des risques de sécurité de l'information;Mettre en œuvre le plan de traitement des risques
9;Évaluation de la performance;9.1;Surveillance, mesures, analyse et évaluation;Évaluer la performance et l'efficacité du SMSI
9;Évaluation de la performance;9.2;Audit interne;Réaliser des audits internes à intervalles planifiés
9;Évaluation de la performance;9.2.1;Généralités;Fournir des informations sur la conformité du SMSI
9;Évaluation de la performance;9.2.2;Programme d'audit interne;Planifier et établir un programme d'audit
9;Évaluation de la performance;9.3;Revue de direction;Procéder à la revue du SMSI par la direction
9;Évaluation de la performance;9.3.1;Généralités;Revoir le SMSI à intervalles planifiés
9;Évaluation de la performance;9.3.2;Éléments d'entrée de la revue de direction;Inclure les éléments d'entrée requis
9;Évaluation de la performance;9.3.3;Résultats de la revue de direction;Inclure les décisions relatives aux opportunités d'amélioration
10;Amélioration;10.1;Amélioration continue;Améliorer en continu la pertinence et l'efficacité du SMSI
10;Amélioration;10.2;Non-conformité et action corrective;Réagir aux non-conformités et prendre des actions correctives
A.5;Mesures organisationnelles;A.5.1;Politiques de sécurité de l'information;Définir et approuver une politique de sécurité de l'information
A.5;Mesures organisationnelles;A.5.2;Fonctions et responsabilités liées à la sécurité de l'information;Définir et attribuer les responsabilités de sécurité
A.5;Mesures organisationnelles;A.5.3;Séparation des tâches;Séparer les tâches et domaines de responsabilité conflictuels
A.5;Mesures organisationnelles;A.5.4;Responsabilités de la direction;S'assurer que le personnel applique la politique de sécurité
A.5;Mesures organisationnelles;A.5.5;Contact avec les autorités;Maintenir des contacts avec les autorités compétentes
A.5;Mesures organisationnelles;A.5.6;Contact avec des groupes de travail spécialisés;Maintenir des contacts avec des groupes spécialisés
A.5;Mesures organisationnelles;A.5.7;Renseignement sur les menaces;Collecter et analyser les informations sur les menaces
A.5;Mesures organisationnelles;A.5.8;Sécurité de l'information dans la gestion de projet;Intégrer la sécurité dans la gestion de projet
A.5;Mesures organisationnelles;A.5.9;Inventaire des informations et autres actifs associés;Établir et tenir à jour un inventaire des actifs
A.5;Mesures organisationnelles;A.5.10;Utilisation correcte des informations et autres actifs associés;Définir et documenter les règles d'utilisation acceptable
A.5;Mesures organisationnelles;A.5.11;Restitution des actifs;Restituer les actifs en fin de contrat ou d'emploi
A.5;Mesures organisationnelles;A.5.12;Classification des informations;Classifier les informations selon les besoins de protection
A.5;Mesures organisationnelles;A.5.13;Marquage des informations;Mettre en œuvre des procédures de marquage appropriées
